aaronite, aeration
glancingly, clangingly
clasping, scalping
misclass, classism
classwork, crosswalk
searcloth, clathrose
craterlet, clatterer
dulciana, claudian
claustral, lacustral
clavacin, vaccinal
outlance, cleanout
clearable, lacerable
lysogenetic, cleistogeny
clericature, recirculate
clerkess, reckless
reckling, clerking
cleveite, elective
clidastes, discastle
genetical, clientage
denticle, cliented
fictional, cliftonia
pathologicoclinical, clinicopathological
clinoclase, oscillance
coolingly, clinology
clinometer, recoilment
necropolis, clinospore
clipsome, polemics
loricati, clitoria
clitoridean, directional
coistril, clitoris
cloacinal, cocillana
coistrel, cloister
sclerotial, cloisteral
tonicoclonic, clonicotonic
closterium, sclerotium
clumsily, scyllium
pulicene, clupeine
mycelian, clymenia
clypeolate, ptyalocele
cnidophore, princehood
lociation, coalition
solicitation, coalitionist
coaltitude, colatitude
morocota, coatroom
cocainist, siccation
cocamine, comacine
ochlesitic, cochleitis
codirector, cocreditor
coderive, divorcee
coelection, entocoelic
gonyocele, coelogyne
croconate, coenactor
ecostate, coestate
forecast, cofaster
coferment, forcement
cogeneric, concierge
cognatical, galactonic
cognation, contagion
cognition, incognito
gnomonical, cognominal
coinclude, undecolic
coinherence, incoherence
coinherent, incoherent
maconite, coinmate
precision, coinspire
colcothar, ochlocrat
colectomy, cyclotome
colemanite, melaconite
collaret, corallet
collarino, coronilla
collatee, ocellate
collationer, recollation
recollection, collectioner
collegial, gallicole
teocalli, colletia
colligate, cotillage
coralline, collinear
isoclinal, collinsia
polycotyl, collotypy
collusive, colluvies
coloenteritis, enterocolitis
colombian, colombina
colonalgia, naological
ecotonal, colonate
oscillation, colonialist
proctocolitis, coloproctitis
colorman, conormal
colpeurynter, counterreply
orographical, colporrhagia
coltskin, linstock
columbotitanate, titanocolumbate
documental, columnated
columned, uncledom
molybdenic, combinedly
metaconid, comediant
comedown, downcome
incomeless, comeliness
comingle, comeling
recomfort, comforter
nonmetric, comintern
comitragedy, tragicomedy
commander, recommand
commation, monatomic
commelina, melomanic
commender, recommend
commentarial, manometrical
commination, monamniotic
commissioner, recommission
recompact, compacter
comparition, proamniotic
compasser, recompass
contemperate, compenetrate
competitioner, recompetition
complier, compiler
compliant, complaint
complanate, placentoma
recompound, compounder
recomprehend, comprehender
compressed, decompress
comprise, perosmic
compromission, procommission
coumarin, conarium
conative, invocate
concealer, reconceal
reconnect, concenter
concentive, connective
concertize, concretize
concessioner, reconcession
reconcoct, concocter
concreter, reconcert
concretor, conrector
condemner, recondemn
recondition, conditioner
monodactylous, condylomatous
tepecano, conepate
reconfess, confesser
configurationism, misconfiguration
confirmer, reconfirm
confirmor, corniform
falconet, conflate
conformer, reconform
reconfound, confounder
reconfront, confronter
congealer, recongeal
congeneric, necrogenic
necrogenous, congenerous
congenial, goclenian
coregent, congreet
congreve, converge
conicoid, conoidic
reconjoin, conjoiner
nonaction, connation
conventical, connectival
connoissance, nonaccession
conoidal, dolciano
conringia, inorganic
conversable, conservable
conservancy, conversancy
conversant, conservant
conversation, conservation
conservational, conversational
conversationist, conservationist
conversative, conservative
conserve, converse
conserver, converser
considerate, desecration
devisceration, considerative
considered, deconsider
considerer, reconsider
consigner, reconsign
snipocracy, conspiracy
conspire, incorpse
constitutionalism, misconstitutional
constitutioner, reconstitution
transonic, constrain
constructer, reconstruct
misconstruction, constructionism
consulage, glucosane
cynosural, consulary
consulter, reconsult
mucrones, consumer
contender, recontend
recontest, contester
continued, unnoticed
nonlicet, contline
crotonate, contortae
covenanter, contravene
tetronic, contrite
contrive, invector
conturbation, obtruncation
reconvention, conventioner
reconvert, converter
ventricose, convertise
reconvey, conveyer
conycatcher, technocracy
corynine, conyrine
coolweed, locoweed
octoroon, coonroot
copalite, poetical
portance, coparent
copartner, procreant
pacation, copatain
procanal, coplanar
copleased, escaloped
copperer, recopper
coprinus, poncirus
topographics, coprophagist
copulate, outplace
poculation, copulation
recopyright, copyrighter
coquitlam, quamoclit
icacorea, coraciae
rascacio, coracias
coradicate, ectocardia
corallina, corallian
lectorial, corallite
crocodile, cordicole
directoire, cordierite
sclerose, coreless
coresidual, radiculose
cosigner, coresign
criminatory, coriamyrtin
corindon, nodicorn
rockiness, corkiness
undercoat, cornuated
reoccupation, cornucopiate
uncloister, cornulites
corollated, decollator
coronated, creodonta
corporealist, prosectorial
recorrection, correctioner
corrente, terceron
porrection, correption
recordation, corrodentia
recorrupt, corrupter
cortical, crotalic
cortices, cresotic
corticose, creosotic
veronica, corvinae
hypercone, coryphene
societal, cosalite
cosharer, horsecar
cosmetician, encomiastic
pansciolist, costispinal
sternocostal, costosternal
vertebrocostal, costovertebral
customer, costumer
courtesy, cosurety
scusation, cosustain
election, coteline
octillion, cotillion
cotranspire, pornerastic
cotripper, periproct
osculatory, cotylosaur
countercarte, counteracter
countercharm, countermarch
counterguard, uncorrugated
counteridea, decurionate
counterpaly, counterplay
counterseal, countersale
nectareous, countersea
countershade, decantherous
uncontrasted, counterstand
reluctation, countertail
countertrades, unstercorated
involucrate, countervail
couplement, uncomplete
couponed, uncooped
orbicular, courbaril
scouring, coursing
outcrier, courtier
courtiership, peritrichous
turcoman, courtman
couthily, touchily
touchiness, couthiness
couthless, touchless
coversine, vernicose
crackmans, cracksman
malcreated, cradlemate
mesaraic, cramasie
cyanometric, craniectomy
craniognomy, organonymic
crapulous, opuscular
crateful, fulcrate
terraciform, crateriform
crateris, serratic
craterous, recusator
cratometric, metrocratic
creasing, scirenga
traceable, creatable
incinerate, creatinine
creationary, reactionary
reactionist, creationist
reactive, creative
reactively, creatively
creativeness, reactiveness
reactivity, creativity
crebrous, obscurer
creditable, directable
creditive, directive
creditor, director
creditorship, directorship
creditress, directress
creditrix, directrix
interceder, crednerite
misdeclare, creedalism
predecree, creepered
cremation, manticore
mercator, cremator
mercatorial, crematorial
crenelate, lanceteer
intolerance, crenelation
crenitic, cretinic
necrology, crenology
crepidula, pedicular
princesse, crepiness
crepitant, pittancer
piecrust, crepitus
licensor, cresolin
crestline, stenciler
stereometric, crestmoreite
direction, cretinoid
thyrocricoid, cricothyroid
crimeful, merciful
crimeless, merciless
crimelessness, mercilessness
criminalese, misreliance
crimpage, pergamic
crinanite, natricine
dicentra, crinated
cristopher, rectorship
criteria, triceria
tricerion, criterion
tricerium, criterium
necrotic, crocetin
crocodilite, crocidolite
crossite, crosstie
crossover, overcross
crosstied, dissector
rectoress, crosstree
crotaloid, doctorial
croupily, polyuric
curdwort, crudwort
cruisken, unsicker
crurogenital, genitocrural
inguinocrural, cruroinguinal
scrutate, crustate
crustation, scrutation
crustily, rusticly
crustiness, rusticness
predictory, cryptodire
cryptomeria, imprecatory
prostatectomy, cryptostomate
ctenidial, identical
monticule, ctenolium
ctenophore, nectophore
ctetology, tectology
cuailnge, glaucine
cuarteron, raconteur
cubanite, incubate
culinary, uranylic
cultivar, curvital
inculture, culturine
cumulite, lutecium
pudicity, cupidity
uncopied, cupidone
cupreous, upcourse
pasticheur, curateship
nocturia, curation
curatory, outcarry
curialist, rusticial
slouchiness, cushionless
dicyanine, cyanidine
cyanophycin, phycocyanin
macilency, cyclamine
indirectly, cylindrite
cymometer, mecometry
cynaroid, dicaryon
philocynic, cynophilic
cyphonism, symphonic
poticary, cyrtopia
cystitis, scytitis
cystofibroma, fibrocystoma
lithocyst, cystolith
cystomyxoma, myxocystoma
nephrocystosis, cystonephrosis
cystopyelitis, pyelocystitis
urethrocystitis, cystourethritis
cytherean, enchytrae
cytisine, syenitic
cytomere, merocyte
cytophil, phycitol
cytosome, otomyces
hydrotical, dacryolith
dactylonomy, monodactyly
dactylopteridae, pterodactylidae
dactylopterus, pterodactylus
standage, dagestan
dalesman, leadsman
dallying, ladyling
damewort, wardmote
damnation, mandation
damnatory, mandatory
damonico, monoacid
detainal, danalite
teardown, danewort
dangerful, gardenful
gardenless, dangerless
sudanese, danseuse
dargsman, dragsman
redarken, darkener
darshana, shardana
dartrose, roadster
dysneuria, dasyurine
detassel, dateless
subtread, daubster
dawdling, waddling
waddlingly, dawdlingly
dawnlike, wandlike
deaconship, endophasic
endboard, deadborn
endeared, deadener
deckload, deadlock
dealable, leadable
dealership, leadership
mesadenia, deaminase
debutant, unbatted
debutante, unabetted
dodecarch, decachord
decalitre, decaliter
decametre, decameter
desecrate, decastere
received, deceiver
medically, decimally
decimate, medicate
decimation, medication
decimestrial, sedimetrical
sextodecimo, decimosexto
demiracle, declaimer
redactional, declaration
declinate, encitadel
decollate, ocellated
ocreated, decorate
sectroid, decorist
trisected, decretist
decurrency, recrudency
deerhair, dehairer
deerhorn, dehorner
doorweed, deerwood
redefault, defaulter
defensor, foresend
flowered, deflower
unfelted, defluent
fornicated, deforciant
forested, deforest
reformed, deformer
degarnish, garnished
degasser, dressage
degelation, delegation
dehortation, theriodonta
dialectic, deictical
deification, edification
edificatory, deificatory
palaeechinoid, deinocephalia
deistically, dialystelic
diphysite, deityship
delayful, feudally
delegatory, derogately
delicateness, delicatessen
gelatined, delignate
delimitation, mniotiltidae
rondeletia, delineator
derailment, delirament
redeliver, deliverer
delphinius, sulphinide
deluding, ungilded
unsoiled, delusion
delusionist, indissolute
deluster, ulstered
redemand, demander
maddening, demanding
demandingly, maddeningly
demantoid, dominated
demarcation, democratian
enamored, demeanor
dementia, mendaite
dominance, demicanon
demilustre, demiluster
demiparallel, imparalleled
embodier, demirobe
demiturned, undertimed
redemolish, demolisher
seminomadic, demoniacism
demonial, melanoid
demonish, hedonism
murderer, demurrer
demurring, murdering
demurringly, murderingly
denature, undereat
tindered, dendrite
reindeer, denierer
emendation, denominate
detonable, denotable
detonation, denotation
detonative, denotative
devonite, denotive
denouncer, unencored
seerhand, denshare
denshire, drisheen
dentalism, dismantle
dentatoserrate, serratodentate
dentatosinuate, sinuatodentate
unarticled, denticular
dentinitis, tendinitis
dentinoma, nominated
labiodental, dentolabial
dentolingual, linguodental
denudative, undeviated
underaction, denunciator
pentaploid, deoppilant
redepend, depender
petticoated, depetticoat
depiction, pectinoid
diplotene, depletion
deploration, periodontal
polished, depolish
positioned, deposition
despoliation, depositional
pterideous, depositure
pervader, depraver
pervadingly, depravingly
precedable, deprecable
predeication, depreciation
partedness, depressant
deprival, prevalid
deprivate, predative
depriver, predrive
unparted, depurant
depuration, portunidae
deranged, gardened
deranger, gardener
deregister, registered
derelict, relicted
ordinative, derivation
revalidation, derivational
dermatic, timecard
neurodermatosis, dermatoneurosis
dermatophone, herpetomonad
dermosclerite, sclerodermite
trogonidae, derogation
regrinder, derringer
descender, redescend
discerption, description
detersion, desertion
deshabille, shieldable
discoactine, desiccation
desilver, silvered
redisable, desirable
siderous, desirous
desition, sedition
desmopathy, phymatodes
priodontes, desorption
despairing, spinigrade
desperation, esperantido
despiser, disperse
despoiler, leprosied
despotat, postdate
timidness, destinism
elaterid, detailer
redetect, detecter
determinant, detrainment
threnode, dethrone
tetraodon, detonator
retracted, detracter
developer, redevelop
devitrify, fervidity
dewiness, wideness
dextraural, extradural
sinistrodextral, dextrosinistral
dyehouse, deyhouse
diabolist, idioblast
indicate, diacetin
lyctidae, diacetyl
diaclase, sidalcea
diaeretic, icteridae
diagenetic, digenetica
diageotropism, geodiatropism
lacertoid, dialector
trailside, dialister
diallelon, llandeilo
sigmoidal, dialogism
inanimated, diamantine
diameter, diatreme
phronimidae, diamorphine
diaspinae, diapensia
diaphote, hepatoid
diphtherian, diaphtherin
diapnoic, pinacoid
rachidial, diarchial
diastrophy, dystrophia
diatomean, mantoidea
domitian, diatomin
diatropism, prismatoid
endopathic, dictaphone
dictionary, indicatory
tileyard, dielytra
digester, redigest
diligentia, digitalein
goniatitid, digitation
digitonin, indigotin
digredient, reddingite
dilacerate, lacertidae
diluvian, induvial
soredium, dimerous
diminisher, rediminish
myrianida, dimyarian
dineuric, eurindic
windgall, dingwall
hernioid, dinheiro
dioeciopolygamous, polygamodioecious
diogenite, gideonite
dioptral, tripodal
tripodic, dioptric
tripodical, dioptrical
dromicia, dioramic
dioscorein, dioscorine
sciuroid, dioscuri
diosmotic, sodomitic
unimparted, diparentum
diphosphate, phosphatide
prandial, diplanar
epidural, dipleura
dipleural, preludial
pseudophallic, diplocephalus
diploetic, lepidotic
dipsaceous, spadiceous
dipteraceous, epiceratodus
tripedal, dipteral
dipterological, pteridological
pteridologist, dipterologist
pteridology, dipterology
portside, dipteros
directly, tridecyl
dirgelike, ridgelike
disadventure, unadvertised
redisappear, disappearer
disarmed, misdread
disastimeter, semistriated
distraite, disattire
disburse, subsider
rescinder, discerner
rescindment, discernment
sicklied, disclike
discontinuer, undiscretion
discounter, rediscount
rediscover, discoverer
sericated, discreate
discreetly, discretely
discreteness, discreetness
pederastic, discrepate
soricident, discretion
doctrinairism, discriminator
disculpate, spiculated
discusser, rediscuss
disenact, distance
downside, disendow
indentwise, disentwine
hydramnios, disharmony
intershade, dishearten
dishling, hidlings
ironshod, dishonor
idealistic, disilicate
misprovide, disimprove
lactoside, dislocate
disremember, dismemberer
disparage, grapsidae
tridiapason, disparation
dispatcher, redispatch
dispensable, piebaldness
piedness, dispense
pedalist, dispetal
epidermis, dispireme
redisplay, displayer
displeaser, pearlsides
openside, disponee
disporum, misproud
predespair, disprepare
redispute, disrepute
disscepter, disrespect
tiredness, dissenter
statesider, dissertate
disserve, dissever
dissolve, voidless
distater, striated
sigillated, distillage
redistill, distiller
distinguisher, redistinguish
distrainer, redistrain
distrait, triadist
redisturb, disturber
disulphone, unpolished
indusiform, disuniform
untiaraed, diuranate
induration, diurnation
misdivision, divisionism
doctorship, trophodisc
stegodon, dogstone
watchdog, dogwatch
lodesman, dolesman
domanial, domainal
dominate, nematoid
donatism, saintdom
donorship, rhodopsin
reformado, doorframe
odorless, doorless
doorplate, leptodora
doorstop, doorpost
roodstone, doorstone
dopplerite, lepidopter
dormancy, mordancy
dorothea, theodora
prosodiacal, dorsoapical
dorsolateral, laterodorsal
mediodorsal, dorsomedial
sacrodorsal, dorsosacral
dorsoventrad, ventrodorsad
dorsoventral, ventrodorsal
ventrodorsally, dorsoventrally
mediocrist, dosimetric
downbear, rawboned
godwinian, downingia
downtake, takedown
downthrow, throwdown
downturn, turndown
downward, drawdown
draconis, sardonic
dracontian, octandrian
dragonize, organized
gadroonage, dragoonage
drainage, gardenia
drainman, mandarin
drawable, wardable
drawbore, wardrobe
lifeward, drawfile
drawgate, gateward
headward, drawhead
drawhorse, shoreward
drawsheet, watershed
postward, drawstop
redamage, dreamage
dreamhole, heloderma
dreamish, semihard
raddleman, dreamland
dreiling, gridelin
mandrill, drillman
screwdrive, drivescrew
grudgery, druggery
tabitude, dubitate
unstocked, duckstone
nuculidae, duculinae
unalmsed, dulseman
unomitted, dumontite
dunderpate, undeparted
unpickled, dunpickle
duodenal, unloaded
duodenojejunal, jejunoduodenal
duodenopancreatectomy, pancreatoduodenectomy
undertide, durdenite
electrodynamic, dynamoelectric
dynamoelectrical, electrodynamical
dyophone, honeypod
dysluite, sedulity
naileress, earliness
earlship, pearlish
easternly, earnestly
earringed, grenadier
rhaetian, earthian
earthiness, heartiness
heartless, earthless
heartling, earthling
heartnut, earthnut
earthpea, heartpea
earthquake, heartquake
earthward, heartward
earwitness, wateriness
easement, estamene
unboasted, eastbound
easterling, generalist
ebenales, lebanese
inurbane, eburnian
lardacein, ecardinal
misecclesiastic, ecclesiasticism
echeveria, reachieve
hecatine, echinate
echinital, inethical
eckehart, hacktree
spliceable, eclipsable
economics, neocosmic
mesotonic, economist
ecorticate, octaeteric
ecrasite, sericate
tentacle, ectental
topchrome, ectomorph
reaccost, ectosarc
neotropic, ectropion
edgerman, gendarme
editorial, radiolite
eelspear, prelease
eightsome, egotheism
ideograph, eidograph
ideology, eidology
tearable, elabrate
mesocephaly, elaphomyces
elaphurus, sulphurea
elastomer, salometer
electoral, recollate
glycerate, electragy
tercelet, electret
lectrice, electric
magnetoelectric, electromagnetic
electromagnetical, magnetoelectrical
electrothermic, thermoelectric
thermoelectrometer, electrothermometer
elegiambus, iambelegus
selagite, elegiast
plancheite, elephantic
retaliate, elettaria
overlate, elevator
elfishness, fleshiness
trioleic, elicitor
eliminand, mindelian
ellenyard, learnedly
elohimic, hemiolic
legioner, eloigner
eloignment, omnilegent
lavenite, elvanite
elytroposis, proteolysis
elytrous, urostyle
emmarble, embalmer
embryoid, reimbody
ephemeris, emeership
ondameter, emendator
meriones, emersion
mansioneer, emersonian
remigate, emigrate
remigation, emigration
emirship, imperish
missayer, emissary
empathic, emphatic
emphatically, empathically
emphasis, misshape
empiristic, empiricist
employer, polymere
emporial, proemial
palmitone, emptional
empyesis, pyemesis
emulation, laumonite
solenium, emulsion
emundation, mountained
octenary, enactory
rosaniline, enaliornis
enaluron, neuronal
enanthem, menthane
enantiomer, renominate
enarthrosis, nearthrosis
pelecanus, encapsule
encaustic, succinate
meningoencephalitis, encephalomeningitis
encephalomeningocele, meningoencephalocele
encephalomyelitis, myeloencephalitis
rechange, encharge
linolenic, encinillo
recounsel, enclosure
neurogenic, encoignure
meconium, encomium
olecranon, encoronal
entocornea, encoronate
encratism, miscreant
encrinital, tricennial
nycteridae, encyrtidae
engrainedly, endearingly
madeline, endemial
endocrine, enderonic
sideronatrite, endoarteritis
endocline, indolence
endosarc, secondar
moonseed, endosome
endosporium, imponderous
leadstone, endosteal
undryable, endurably
unringed, enduring
underlying, enduringly
regenesis, energesis
energeticist, energetistic
energical, generical
steering, energist
venerate, enervate
veneration, enervation
venerative, enervative
engirdle, reedling
greenland, englander
reshingle, englisher
engrailed, geraldine
realignment, engrailment
engraphic, preaching
enlisted, lintseed
nonrebel, ennobler
maeonian, enomania
enorganic, ignorance
unmorose, enormous
sootiness, enostosis
entophytic, enphytotic
legendary, enragedly
rondelle, enrolled
ensepulchre, ensepulcher
unshored, enshroud
syngenic, ensigncy
ensilver, sniveler
enspirit, pristine
untreatable, entablature
enterogastritis, gastroenteritis
enteroid, orendite
enteropexy, oxyterpene
motherland, enthraldom
entincture, unreticent
lientery, entirely
eternity, entirety
ethanoyl, entohyal
melanotic, entomical
entomion, noontime
monophylite, entomophily
entomotomy, omentotomy
entophyte, tenophyte
tetraonine, entoretina
enzootic, entozoic
entreating, interagent
entrepas, septenar
importune, entropium
enumeration, mountaineer
enunciation, incuneation
enunciator, uncreation
envelope, ovenpeel
enverdure, unrevered
eophyton, honeypot
eosaurus, rousseau
raphaelic, eparchial
pinachrome, epharmonic
epicentral, parentelic
lipocyte, epicotyl
periacinal, epicranial
epiderma, premedia
epididymovasostomy, vasoepididymostomy
epilabrum, impuberal
polianite, epilation
epilatory, petiolary
epipastic, epipactis
epiplasm, palmipes
epiploic, epipolic
epirotic, periotic
episclera, periclase
septicemia, episematic
epistatic, pistacite
episternum, uprisement
spirelet, epistler
epistoma, metopias
epistome, epsomite
epistroma, peristoma
epithecate, petechiate
hemitype, epithyme
peritomize, epitomizer
proteinic, epornitic
pelusios, epulosis
epulotic, poultice
epuration, eupatorin
inequity, equinity
equitable, quietable
quietist, equitist
erasmian, raiseman
gentrice, erecting
materiel, eremital
tropeine, ereption
erethismic, hetericism
erethistic, hetericist
merginae, ergamine
ergomaniac, grecomania
erigeron, reignore
serialist, eristalis
eristical, realistic
eucharist, erithacus
erotesis, isostere
errabund, unbarred
eruciform, urceiform
overcurious, erucivorous
eruction, neurotic
erumpent, untemper
unitrope, eruption
gynerium, eryngium
erythrin, tyrrheni
heterography, erythrophage
erythrophyllin, phylloerythrin
pyrotheria, erythropia
espacement, escapement
tocharese, escheator
obeliscal, escobilla
escropulo, supercool
unselect, esculent
esiphonal, phaseolin
eskualdun, euskaldun
esophagogastrostomy, gastroesophagostomy
trisetose, esoterist
esotrope, proteose
interspace, esperantic
esperantism, strepsinema
esperanto, personate
messines, essenism
essonite, ossetine
esterling, steerling
estivage, vegasite
estonian, nasonite
estradiol, idolaster
estriate, treatise
gerontes, estrogen
streamline, eternalism
etherization, heterization
etherize, heterize
shemitic, ethicism
oldhamite, ethmoidal
ethmosphenoid, sphenoethmoid
sphenoethmoidal, ethmosphenoidal
hyetograph, ethography
ethologic, theologic
ethology, theology
recusant, etruscan
eucalypteol, eucalyptole
neurectopia, eucatropine
uglisome, eulogism
plumeous, eumolpus
spiculate, euplastic
uninnate, eutannin
eutheria, hauerite
eutropic, outprice
everwhich, whichever
evildoer, overidle
vilehearted, evilhearted
evitation, novitiate
overcoat, evocator
exanimation, examination
exasperation, xenoparasite
exceptant, expectant
exceptive, expective
intoxicate, excitation
exhilarate, heteraxial
expatiater, expatriate
operatrix, expirator
extropical, explicator
expressionism, misexpression
extirpationist, sextipartition
unexactly, exultancy
factable, labefact
factional, falcation
fishfall, fallfish
fallible, fillable
flatboat, faltboat
fameless, selfsame
selfsameness, famelessness
farmable, framable
forensal, farnesol
footrail, farolito
fashioner, refashion
fasthold, holdfast
landfast, fastland
findfault, faultfind
sufflate, feastful
featherer, hereafter
unfaceted, fecundate
unfactored, fecundator
feteless, feetless
pantofle, felapton
felinity, finitely
feltness, leftness
tibiofemoral, femorotibial
referment, fermenter
ferrihydrocyanic, hydroferricyanic
ferrohydrocyanic, hydroferrocyanic
feudalism, sulfamide
feulamort, formulate
fiberware, fibreware
fibrolipoma, lipofibroma
fibromucous, mucofibrous
myofibroma, fibromyoma
myxofibroma, fibromyxoma
myxofibrosarcoma, fibromyxosarcoma
neurofibroma, fibroneuroma
fibroserous, serofibrous
fleckiness, fickleness
fidicula, fiducial
fiedlerite, friedelite
fieldman, inflamed
fiendish, finished
fifteener, teneriffe
fruitage, figurate
lifelike, filelike
refilter, filterer
shelflist, filthless
flirtable, filtrable
flirtation, filtration
rifeness, finesser
refinger, fingerer
fingerflower, fringeflower
fringeless, fingerless
fingerlet, fringelet
refinish, finisher
gripeful, fireplug
tasheriff, fireshaft
forestine, firestone
sherifate, fisheater
fishpond, pondfish
foolship, fishpool
woodfish, fishwood
folletage, flageolet
flandowser, sandflower
flatwise, saltwife
fleshful, shelfful
refluxed, flexured
trifling, flirting
triflingly, flirtingly
nonfertile, florentine
foralite, floriate
fornical, florican
floridan, florinda
flourisher, reflourish
outfling, flouting
reflower, flowerer
fluctuant, untactful
flutework, flukewort
fluorate, outflare
neurofil, fluorine
lungfish, flushing
foregate, fogeater
foliature, toluifera
fomenter, refoment
sorefoot, footsore
forecaster, reforecast
overforce, forecover
foregirth, foreright
forelive, overfile
forename, foremean
forinsec, forensic
prefator, forepart
foresign, foresing
forestage, fosterage
foretaste, forestate
forestem, fretsome
foreutter, outferret
reforfeit, forfeiter
formagen, forgeman
formylal, formally
fumarole, formulae
formulator, torulaform
forritsome, ostreiform
homecroft, forthcome
forwarder, reforward
frowardly, forwardly
frowardness, forwardness
foundationer, refoundation
foundling, unfolding
fratcheous, housecraft
refreshen, freshener
refrighten, frightener
glorifiable, frigolabile
unifilar, friulian
nasofrontal, frontonasal
occipitofrontal, frontooccipital
frontoorbital, orbitofrontal
parietofrontal, frontoparietal
temporofrontal, frontotemporal
perfection, frontpiece
resistful, fruitless
frustule, sulfuret
luctiferous, fruticulose
fulminatory, unformality
fulminous, sulfonium
unfabled, fundable
funebrial, unfriable
furbisher, refurbish
refurnish, furnisher
furstone, unforest
fusteric, scutifer
geldable, gabelled
gadinine, indigena
gahrwali, garhwali
gallican, gaincall
gainless, glassine
gainstrive, vinegarist
gainturn, naturing
legatine, galenite
galewort, waterlog
gallinae, galilean
galloper, regallop
tannogallate, gallotannate
gallotannic, tannogallic
stonegall, gallstone
gallybeggar, gallybagger
notalgia, galtonia
galvanopsychic, psychogalvanic
thermogalvanometer, galvanothermometer
melalgia, gamaliel
smashage, gamashes
neuroganglion, ganglioneuron
language, ganguela
ganoidean, indogaean
ganymede, megadyne
gardenin, grenadin
garewaite, waiterage
garmenture, reargument
regarnish, garnisher
garreted, gartered
regrator, garroter
regrating, gartering
seignoral, gasoliner
gastrohepatic, hepatogastric
monogastric, gastronomic
graphostatic, gastropathic
stragular, gastrular
gatherer, regather
hermitage, geheimrat
geissospermine, spermiogenesis
gelastic, gestical
gelatinate, nagatelite
integralize, gelatinizer
segolate, gelatose
gelidness, glideness
gematria, maritage
greenable, generable
renegation, generation
neuralgic, genicular
genistein, gentisein
vigilante, genitival
genitorial, religation
ortygine, genitory
genitourinary, urinogenitary
geniture, guerinet
genizero, negroize
genotypical, ptyalogenic
genthite, teething
hydrogeology, geohydrology
isogeotherm, geoisotherm
glaciometer, geometrical
tocogenetic, geotectonic
otogenic, geotonic
regional, geraniol
gerendum, unmerged
megarian, germania
screaming, germanics
remagnification, germanification
germanify, remagnify
streaming, germanist
germanly, germanyl
minargent, germinant
geronomite, goniometer
gerontic, negrotic
monergist, gerontism
ungrieved, gerundive
gesticular, scutigeral
geyerite, tigereye
selbergite, gilbertese
ginglymoid, ginglymodi
gratiano, giornata
tetragonia, giornatate
negroidal, girandole
seraglio, girasole
girdingly, ridgingly
girdling, ridgling
girondin, nonrigid
ignatius, giustina
regalist, glaister
grainless, glariness
gloating, goatling
rigolette, gloriette
logistics, glossitic
hyoglossal, glossohyal
glossolabial, labioglossal
labioglossolaryngeal, glossolabiolaryngeal
glossolabiopharyngeal, labioglossopharyngeal
gloveress, groveless
mucilage, glucemia
glycerizine, glycerinize
phosphoglycerate, glycerophosphate
glycocin, glyconic
glycosine, lysogenic
graciously, glycosuria
gnaphalium, phalangium
tangling, gnatling
oncoming, gnomonic
nostalgic, gnostical
goatlike, togalike
goldenmouth, longmouthed
gomphrena, nephogram
gondolier, negroloid
osmogene, gonesome
gongoresque, gorgonesque
orangeist, goniaster
gonidiferous, indigoferous
gonomery, merogony
gonosome, mongoose
goodyera, goodyear
ringgoer, gorgerin
organotin, gortonian
gryposis, gossipry
treading, gradient
intergrade, gradienter
grantiidae, gradientia
granilla, grallina
marginiform, graminiform
ignoramus, graminous
gramophonist, monographist
granadine, grenadian
grandeeism, renegadism
unregard, grandeur
grandeval, landgrave
grandiose, sargonide
grandparental, grandpaternal
grangousier, gregarinous
granivore, overgrain
renography, granophyre
traguline, granulite
graperoot, prorogate
logographic, graphologic
logographical, graphological
logography, graphology
graphometer, meteorgraph
graphophonic, phonographic
hoppergrass, grasshopper
grassman, mangrass
gravamen, graveman
ragingly, grayling
greenish, sheering
gregarina, gregarian
organing, groaning
unarising, grusinian
guanamine, guineaman
uranographist, guarantorship
unsphering, gunnership
gunreach, uncharge
guttular, guttural
gymnasic, syngamic
nystagmic, gymnastic
gynospore, sporogeny
gyromitra, migratory
orography, gyrophora
hebridean, haberdine
woodhack, hackwood
hortensia, hairstone
healsome, halesome
halicore, heroical
hallower, rehallow
theogonal, halogeton
halophile, philohela
hylopathism, halophytism
halterbreak, leatherbark
hammerer, rehammer
hamulites, shulamite
sheratan, hanaster
prehandicap, handicapper
handscrape, scaphander
handstone, stonehand
handwork, workhand
langhian, hangnail
hapalotis, sapotilha
peatship, happiest
haptophoric, pathophoric
pathophorous, haptophorous
protopathic, haptotropic
hardener, reharden
herniated, hardenite
thaliard, hardtail
herbarian, harebrain
monarchial, harmonical
harnesser, reharness
harpings, phrasing
splasher, harpless
harrower, reharrow
harvester, reharvest
lustihead, hastilude
thearchy, hatchery
heatable, hateable
heatless, hateless
thematist, hattemist
hauntingly, unhatingly
haurient, huterian
rehazard, hazarder
headlight, lighthead
longhead, headlong
headnote, notehead
railhead, headrail
ringhead, headring
springhead, headspring
headstone, stonehead
stronghead, headstrong
headwater, waterhead
preheated, heartdeep
neatherdess, heartedness
rehearten, heartener
ingather, hearting
heartsome, samothere
weathered, heartweed
hebraizer, herbarize
heelpost, pesthole
hemogenic, hegemonic
reheighten, heightener
heintzite, hintzeite
heirless, hireless
helcosis, ochlesis
photoheliography, heliophotography
thiolacetic, heliotactic
helleborein, helleborine
hellicat, lecithal
